#parent	child	edge_length
root	1	0.9366174941087161
root	2	0.8992708216383558
root	3	0.7791421931538075
root	4	0.9607334886896661
root	5	0.0037944201731721083
root	6	0.8406368033015178
root	7	0.933057524899177
1	8	0.9985709432588902
1	9	0.1686948931635478
1	10	0.6888473980842192
1	11	0.3165178215105928
1	12	0.5650955788466148
1	13	0.49484685197723133
1	14	0.8922297284164402
2	15	0.508911041736316
2	16	0.0656960741279431
2	17	0.8204501264761641
2	18	0.5183376468214816
2	19	0.14977372859778615
2	20	0.35221098541256546
2	21	0.5738590088425132
3	22	0.7340134860418746
3	23	0.15278635594856405
3	24	0.5825936382603174
3	25	0.34423187856310244
3	26	0.09203434377568331
3	27	0.9438536747137074
3	28	0.49543147502918083
4	29	0.42131175383391284
4	30	0.8186145945716076
4	31	0.132778559198935
4	32	0.7547112346649777
4	33	0.3652244239925594
4	34	0.01773329039103788
4	35	0.7330517998162257
5	36	0.1380363186890029
5	37	0.880431142960376
5	38	0.8999454342009697
5	39	0.4412441050312309
5	40	0.2748845782662871
5	41	0.3687785737460718
5	42	0.7463381261465155
6	43	0.929886059123923
6	44	0.02704479329602283
6	45	0.7083763342913126
6	46	0.6608774787208508
6	47	0.7663474561279245
6	48	0.08656436988014637
6	49	0.4623956918012304
7	50	0.895276878807092
7	51	0.2333695119042447
7	52	0.6717916772789891
7	53	0.08651032190924668
7	54	0.6423169805086063
7	55	0.15031389658853478
7	56	0.3612961008739044
8	57	0.937442919197085
8	58	0.4196240960876262
8	59	0.773580658424298
8	60	0.9138333069133705
8	61	0.9576658269142653
8	62	0.05311450474954549
8	63	0.25273993293828423
9	64	0.2631626798127302
9	65	0.17121142464135786
9	66	0.8470927137496876
9	67	0.5103617363128066
9	68	0.14250095574777932
9	69	0.024118941472185518
9	70	0.5895703829086864
10	71	0.27880606659751916
10	72	0.3160843855849894
10	73	0.9669411733625887
10	74	0.6174619016018109
10	75	0.570095890518259
10	76	0.08223834442419198
10	77	0.9007271937814837
11	78	0.9776159976222847
11	79	0.8315084183272072
11	80	0.7003715479134555
